

- Riga 208, nr 199, 2022-11-08, "Hakuto-R M1 & Lunar Flashlight": Data diversa su data; workbook="2022-11-08"; fonte="2022-12-11"; missione fonte="Hakuto-R Mission 1 Emirates Lunar Mission Lunar Flashlight"; fonte=F9/FH 2020-2022
- Riga 209, nr 200, 2022-12-16, "SWOT": Booster diverso su booster; workbook="B1071"; fonte="B1067"; missione fonte="O3b mPOWER 1 & 2"; fonte=F9/FH 2020-2022
- Riga 209, nr 200, 2022-12-16, "SWOT": Numero volo booster diverso su voli; workbook="6"; fonte="8"; missione fonte="O3b mPOWER 1 & 2"; fonte=F9/FH 2020-2022
- Riga 209, nr 200, 2022-12-16, "SWOT": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="O3b mPOWER 1 & 2"; fonte=F9/FH 2020-2022
- Riga 210, nr 201, 2022-12-16, "O3b mPower 1 & 2": Booster diverso su booster; workbook="B1067"; fonte="B1071"; missione fonte="Surface Water and Ocean Topography (SWOT)"; fonte=F9/FH 2020-2022
- Riga 210, nr 201, 2022-12-16, "O3b mPower 1 & 2": Numero volo booster diverso su voli; workbook="8"; fonte="6"; missione fonte="Surface Water and Ocean Topography (SWOT)"; fonte=F9/FH 2020-2022
- Riga 210, nr 201, 2022-12-16, "O3b mPower 1 & 2": Pad diverso su pad; workbook="SLC-40"; fonte="SLC-4E"; missione fonte="Surface Water and Ocean Topography (SWOT)"; fonte=F9/FH 2020-2022
- Riga 222, nr 211, 2023-01-31, "Starlink 2-6 + ION": Pad diverso su pad; workbook="SLC-40"; fonte="SLC-4E"; missione fonte="Starlink: Group 2-6 (49 satellites)"; fonte=F9/FH 2023
- Riga 228, nr 217, 2023-02-28, "Starlink 6-1": Numero volo booster diverso su voli; workbook="6"; fonte="3"; missione fonte="Starlink: Group 6-1 (21 satellites)"; fonte=F9/FH 2023
- Riga 233, nr 222, 2023-03-17, "Starlink 2-8": Booster diverso su booster; workbook="B1071"; fonte="B1069"; missione fonte="SES-18 & SES-19"; fonte=F9/FH 2023
- Riga 233, nr 222, 2023-03-17, "Starlink 2-8": Numero volo booster diverso su voli; workbook="8"; fonte="6"; missione fonte="SES-18 & SES-19"; fonte=F9/FH 2023
- Riga 233, nr 222, 2023-03-17, "Starlink 2-8": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="SES-18 & SES-19"; fonte=F9/FH 2023
- Riga 234, nr 223, 2023-03-18, "SES-18 & SES-19": Booster diverso su booster; workbook="B1069"; fonte="B1071"; missione fonte="Starlink: Group 2-8 (52 satellites)"; fonte=F9/FH 2023
- Riga 234, nr 223, 2023-03-18, "SES-18 & SES-19": Numero volo booster diverso su voli; workbook="6"; fonte="8"; missione fonte="Starlink: Group 2-8 (52 satellites)"; fonte=F9/FH 2023
- Riga 234, nr 223, 2023-03-18, "SES-18 & SES-19": Pad diverso su pad; workbook="SLC-40"; fonte="SLC-4E"; missione fonte="Starlink: Group 2-8 (52 satellites)"; fonte=F9/FH 2023
- Riga 267, nr 254, 2023-07-28, "Starlink 6-7": Numero volo booster diverso su voli; workbook="12"; fonte="15"; missione fonte="Starlink: Group 6-7 (22 satellites)"; fonte=F9/FH 2023
- Riga 316, nr 299, 2023-12-29, "USSF-52": Booster diverso su booster; workbook="B1084"; fonte="B1069"; missione fonte="Starlink: Group 6-36 (23 satellites)"; fonte=F9/FH 2023
- Riga 316, nr 299, 2023-12-29, "USSF-52": Numero volo booster diverso su voli; workbook="1"; fonte="12"; missione fonte="Starlink: Group 6-36 (23 satellites)"; fonte=F9/FH 2023
- Riga 316, nr 299, 2023-12-29, "USSF-52": Pad diverso su pad; workbook="LC-39A"; fonte="SLC-40"; missione fonte="Starlink: Group 6-36 (23 satellites)"; fonte=F9/FH 2023
- Riga 319, nr 300, 2023-12-29, "Starlink 6-36": Booster diverso su booster; workbook="B1069"; fonte="B1084"; missione fonte="USSF-52 (Boeing X-37B OTV-7)"; fonte=F9/FH 2023
- Riga 319, nr 300, 2023-12-29, "Starlink 6-36": Pad diverso su pad; workbook="SLC-40"; fonte="LC-39A"; missione fonte="USSF-52 (Boeing X-37B OTV-7)"; fonte=F9/FH 2023
- Riga 320, nr 301, 2024-01-03, "Starlink 7-9": Booster diverso su booster; workbook="B1082"; fonte="B1076"; missione fonte="Ovzon-3"; fonte=F9/FH 2024-2026
- Riga 320, nr 301, 2024-01-03, "Starlink 7-9": Numero volo booster diverso su voli; workbook="1"; fonte="10"; missione fonte="Ovzon-3"; fonte=F9/FH 2024-2026
- Riga 320, nr 301, 2024-01-03, "Starlink 7-9": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="Ovzon-3"; fonte=F9/FH 2024-2026
- Riga 321, nr 302, 2024-01-04, "Ovzon-3": Booster diverso su booster; workbook="B1076"; fonte="B1082"; missione fonte="Starlink: Group 7-9 (22 satellites)"; fonte=F9/FH 2024-2026
- Riga 321, nr 302, 2024-01-04, "Ovzon-3": Numero volo booster diverso su voli; workbook="10"; fonte="1"; missione fonte="Starlink: Group 7-9 (22 satellites)"; fonte=F9/FH 2024-2026
- Riga 321, nr 302, 2024-01-04, "Ovzon-3": Pad diverso su pad; workbook="SLC-40"; fonte="SLC-4E"; missione fonte="Starlink: Group 7-9 (22 satellites)"; fonte=F9/FH 2024-2026
- Riga 322, nr 303, 2024-01-07, "Starlink 6-35": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="Starlink: Group 6-35 (23 satellites)"; fonte=F9/FH 2024-2026
- Riga 335, nr 316, 2024-02-22, "HTS-113BT": Data diversa su data; workbook="2024-02-22"; fonte="2024-02-20"; missione fonte="Telkomsat HTS 113BT"; fonte=F9/FH 2024-2026
- Riga 337, nr 318, 2024-02-25, "Starlink 6-39": Pad diverso su pad; workbook="LC-39A"; fonte="SLC-40"; missione fonte="Starlink: Group 6-39 (24 satellites)"; fonte=F9/FH 2024-2026
- Riga 340, nr 321, 2024-03-04, "Transporter-10": Booster diverso su booster; workbook="B1081"; fonte="B1073"; missione fonte="Starlink: Group 6-41 (23 satellites)"; fonte=F9/FH 2024-2026
- Riga 340, nr 321, 2024-03-04, "Transporter-10": Numero volo booster diverso su voli; workbook="5"; fonte="13"; missione fonte="Starlink: Group 6-41 (23 satellites)"; fonte=F9/FH 2024-2026
- Riga 340, nr 321, 2024-03-04, "Transporter-10": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="Starlink: Group 6-41 (23 satellites)"; fonte=F9/FH 2024-2026
- Riga 341, nr 322, 2024-03-05, "Starlink 6-41": Booster diverso su booster; workbook="B1073"; fonte="B1081"; missione fonte="Transporter-10 (53 payload smallsat rideshare)"; fonte=F9/FH 2024-2026
- Riga 341, nr 322, 2024-03-05, "Starlink 6-41": Numero volo booster diverso su voli; workbook="13"; fonte="5"; missione fonte="Transporter-10 (53 payload smallsat rideshare)"; fonte=F9/FH 2024-2026
- Riga 341, nr 322, 2024-03-05, "Starlink 6-41": Pad diverso su pad; workbook="SLC-40"; fonte="SLC-4E"; missione fonte="Transporter-10 (53 payload smallsat rideshare)"; fonte=F9/FH 2024-2026
- Riga 353, nr 334, 2024-04-07, "Starlink 8-1": Booster diverso su booster; workbook="B1081"; fonte="B1073"; missione fonte="Bandwagon-1 (11 payload smallsat rideshare) 425 Project Flight 2"; fonte=F9/FH 2024-2026
- Riga 353, nr 334, 2024-04-07, "Starlink 8-1": Numero volo booster diverso su voli; workbook="6"; fonte="14"; missione fonte="Bandwagon-1 (11 payload smallsat rideshare) 425 Project Flight 2"; fonte=F9/FH 2024-2026
- Riga 353, nr 334, 2024-04-07, "Starlink 8-1": Pad diverso su pad; workbook="SLC-4E"; fonte="LC-39A"; missione fonte="Bandwagon-1 (11 payload smallsat rideshare) 425 Project Flight 2"; fonte=F9/FH 2024-2026
- Riga 354, nr 335, 2024-04-08, "Bandwagon-1": Booster diverso su booster; workbook="B1073"; fonte="B1081"; missione fonte="Starlink: Group 8-1 (21 satellites)"; fonte=F9/FH 2024-2026
- Riga 354, nr 335, 2024-04-08, "Bandwagon-1": Numero volo booster diverso su voli; workbook="14"; fonte="6"; missione fonte="Starlink: Group 8-1 (21 satellites)"; fonte=F9/FH 2024-2026
- Riga 354, nr 335, 2024-04-08, "Bandwagon-1": Pad diverso su pad; workbook="LC-39A"; fonte="SLC-4E"; missione fonte="Starlink: Group 8-1 (21 satellites)"; fonte=F9/FH 2024-2026
- Riga 374, nr 355, 2024-05-28, "Starlink:6-60": Booster diverso su booster; workbook="B1078"; fonte="B1081"; missione fonte="EarthCARE"; fonte=F9/FH 2024-2026
- Riga 374, nr 355, 2024-05-28, "Starlink:6-60": Numero volo booster diverso su voli; workbook="10"; fonte="7"; missione fonte="EarthCARE"; fonte=F9/FH 2024-2026
- Riga 374, nr 355, 2024-05-28, "Starlink:6-60": Pad diverso su pad; workbook="SLC-40"; fonte="SLC-4E"; missione fonte="EarthCARE"; fonte=F9/FH 2024-2026
- Riga 375, nr 356, 2024-05-28, "EarthCARE": Booster diverso su booster; workbook="B1081"; fonte="B1078"; missione fonte="Starlink: Group 6-60 (23 satellites)"; fonte=F9/FH 2024-2026
- Riga 375, nr 356, 2024-05-28, "EarthCARE": Numero volo booster diverso su voli; workbook="7"; fonte="10"; missione fonte="Starlink: Group 6-60 (23 satellites)"; fonte=F9/FH 2024-2026
- Riga 375, nr 356, 2024-05-28, "EarthCARE": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="Starlink: Group 6-60 (23 satellites)"; fonte=F9/FH 2024-2026
- Riga 388, nr 367, 2024-06-29, "NROL-186": Booster diverso su booster; workbook="B1061"; fonte="B1081"; missione fonte="NROL-186 (~21 Starshield satellites)"; fonte=F9/FH 2024-2026
- Riga 396, nr 375, 2024-08-04, "Starlink:11-1": Booster diverso su booster; workbook="B1082"; fonte="B1080"; missione fonte="CRS NG-21 (S.S. Francis R. "Dick" Scobee)"; fonte=F9/FH 2024-2026
- Riga 396, nr 375, 2024-08-04, "Starlink:11-1": Numero volo booster diverso su voli; workbook="6"; fonte="10"; missione fonte="CRS NG-21 (S.S. Francis R. "Dick" Scobee)"; fonte=F9/FH 2024-2026
- Riga 396, nr 375, 2024-08-04, "Starlink:11-1": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="CRS NG-21 (S.S. Francis R. "Dick" Scobee)"; fonte=F9/FH 2024-2026
- Riga 397, nr 376, 2024-08-04, "CRS NG-21": Booster diverso su booster; workbook="B1080"; fonte="B1082"; missione fonte="Starlink: Group 11-1 (23 satellites)"; fonte=F9/FH 2024-2026
